门店,门店代码,08-17结算台次,08-17检测台次,08-17完成率,08-18结算台次,08-18检测台次,08-18完成率,08-19结算台次,08-19检测台次,08-19完成率,08-20结算台次,08-20检测台次,08-20完成率,08-21结算台次,08-21检测台次,08-21完成率,08-22结算台次,08-22检测台次,08-22完成率,08-23结算台次,08-23检测台次,08-23完成率,08-24结算台次,08-24检测台次,08-24完成率,08-25结算台次,08-25检测台次,08-25完成率,08-26结算台次,08-26检测台次,08-26完成率,08-27结算台次,08-27检测台次,08-27完成率,08-28结算台次,08-28检测台次,08-28完成率,08-29结算台次,08-29检测台次,08-29完成率,08-30结算台次,08-30检测台次,08-30完成率,08-31结算台次,08-31检测台次,08-31完成率,09-01结算台次,09-01检测台次,09-01完成率,累计结算台次,累计检测台次,累计完成率,"累计X3检测台次(8/1起,不限里程)"
宁波宁兴,31013,29,0,0.0%,39,0,0.0%,38,0,0.0%,48,0,0.0%,29,6,20.7%,35,2,5.7%,34,0,0.0%,55,6,10.9%,32,3,9.4%,20,5,25.0%,39,2,5.1%,13,2,15.4%,29,0,0.0%,61,0,0.0%,34,0,0.0%,27,0,0.0%,562,26,4.6%,41
安利捷（成都）,52111,31,16,51.6%,16,5,31.2%,7,6,85.7%,27,12,44.4%,29,9,31.0%,29,22,75.9%,33,12,36.4%,33,11,33.3%,31,6,19.4%,18,5,27.8%,28,15,53.6%,39,10,25.6%,39,29,74.4%,13,8,61.5%,37,13,35.1%,17,11,64.7%,427,190,44.5%,498
安利捷（青岛）,31412,27,20,74.1%,27,14,51.9%,24,14,58.3%,29,17,58.6%,21,10,47.6%,22,14,63.6%,24,12,50.0%,29,13,44.8%,20,4,20.0%,14,8,57.1%,49,11,22.4%,27,12,44.4%,24,20,83.3%,26,20,76.9%,31,13,41.9%,13,8,61.5%,407,210,51.6%,524
安庆环丰,31151,0,0,—,11,0,0.0%,12,0,0.0%,5,0,0.0%,8,0,0.0%,2,0,0.0%,33,4,12.1%,16,2,12.5%,5,0,0.0%,8,1,12.5%,4,1,25.0%,9,2,22.2%,7,2,28.6%,0,0,—,0,0,—,17,4,23.5%,137,16,11.7%,67
宜兴新苏南,309A1,18,2,11.1%,23,5,21.7%,23,16,69.6%,13,6,46.2%,23,11,47.8%,20,3,15.0%,27,1,3.7%,12,1,8.3%,27,1,3.7%,18,4,22.2%,22,2,9.1%,17,3,17.6%,28,4,14.3%,27,0,0.0%,22,0,0.0%,12,1,8.3%,332,60,18.1%,130
宜昌德龙,41621,0,0,—,3,0,0.0%,9,0,0.0%,13,1,7.7%,3,0,0.0%,7,2,28.6%,10,0,0.0%,23,0,0.0%,6,0,0.0%,7,0,0.0%,4,2,50.0%,3,0,0.0%,11,2,18.2%,8,3,37.5%,0,0,—,7,0,0.0%,114,10,8.8%,63
宿迁天宁,309J1,30,15,50.0%,14,9,64.3%,9,6,66.7%,17,9,52.9%,17,12,70.6%,47,19,40.4%,21,13,61.9%,13,9,69.2%,22,9,40.9%,51,8,15.7%,9,6,66.7%,15,8,53.3%,58,12,20.7%,28,9,32.1%,33,11,33.3%,15,6,40.0%,399,161,40.4%,347
岳阳彤达,41721,36,1,2.8%,32,0,0.0%,29,0,0.0%,30,0,0.0%,18,0,0.0%,29,1,3.4%,22,2,9.1%,13,2,15.4%,24,0,0.0%,12,1,8.3%,25,0,0.0%,52,1,1.9%,31,10,32.3%,38,7,18.4%,26,9,34.6%,19,5,26.3%,436,39,8.9%,72
常州世纪行,30953,10,0,0.0%,22,0,0.0%,27,0,0.0%,11,0,0.0%,19,0,0.0%,24,0,0.0%,35,0,0.0%,11,0,0.0%,33,1,3.0%,23,1,4.3%,33,3,9.1%,22,1,4.5%,24,2,8.3%,14,5,35.7%,41,0,0.0%,11,0,0.0%,360,13,3.6%,35
常州外汽,30951,16,6,37.5%,13,8,61.5%,13,8,61.5%,20,12,60.0%,26,10,38.5%,19,13,68.4%,47,35,74.5%,46,9,19.6%,17,11,64.7%,33,23,69.7%,32,10,31.2%,15,12,80.0%,17,12,70.6%,52,24,46.2%,20,13,65.0%,7,6,85.7%,393,212,53.9%,563
常德华运通,41751,14,9,64.3%,14,6,42.9%,15,4,26.7%,23,7,30.4%,27,5,18.5%,23,10,43.5%,16,11,68.8%,13,5,38.5%,22,11,50.0%,6,0,0.0%,0,0,—,41,9,22.0%,18,12,66.7%,11,3,27.3%,17,9,52.9%,11,5,45.5%,271,106,39.1%,207
广州广博,4182E,31,6,19.4%,40,2,5.0%,44,1,2.3%,26,8,30.8%,26,12,46.2%,24,7,29.2%,31,17,54.8%,31,16,51.6%,35,16,45.7%,25,8,32.0%,32,21,65.6%,24,17,70.8%,36,16,44.4%,19,8,42.1%,11,3,27.3%,65,9,13.8%,500,167,33.4%,583
广州永佳,4182G,26,0,0.0%,28,0,0.0%,25,0,0.0%,27,9,33.3%,20,1,5.0%,42,0,0.0%,39,0,0.0%,28,0,0.0%,16,0,0.0%,16,1,6.2%,18,1,5.6%,23,1,4.3%,30,2,6.7%,30,3,10.0%,22,0,0.0%,19,0,0.0%,409,18,4.4%,32
广西玉林骏业,41951,24,6,25.0%,2,0,0.0%,27,2,7.4%,25,7,28.0%,14,4,28.6%,21,5,23.8%,22,2,9.1%,8,0,0.0%,10,5,50.0%,16,8,50.0%,10,6,60.0%,13,5,38.5%,22,15,68.2%,4,3,75.0%,42,4,9.5%,19,13,68.4%,279,85,30.5%,280
徐州常缘,309B2,26,16,61.5%,26,3,11.5%,52,15,28.8%,33,13,39.4%,37,18,48.6%,32,22,68.8%,53,24,45.3%,40,25,62.5%,33,14,42.4%,33,14,42.4%,30,17,56.7%,27,14,51.9%,41,27,65.9%,50,24,48.0%,36,14,38.9%,28,8,28.6%,577,268,46.4%,631
惠州骏爵,418C3,14,2,14.3%,20,2,10.0%,33,2,6.1%,12,1,8.3%,25,0,0.0%,41,0,0.0%,28,0,0.0%,23,0,0.0%,17,0,0.0%,26,0,0.0%,6,0,0.0%,16,0,0.0%,39,5,12.8%,28,0,0.0%,25,9,36.0%,14,11,78.6%,367,32,8.7%,99
成都启阳华通,52116,27,0,0.0%,20,0,0.0%,23,0,0.0%,31,0,0.0%,0,0,—,8,5,62.5%,0,0,—,5,0,0.0%,35,2,5.7%,28,3,10.7%,4,3,75.0%,34,0,0.0%,0,0,—,17,1,5.9%,32,5,15.6%,4,3,75.0%,268,22,8.2%,214
成都锦泰,52115,15,2,13.3%,56,2,3.6%,40,4,10.0%,47,3,6.4%,36,2,5.6%,0,0,—,101,7,6.9%,2,0,0.0%,0,0,—,0,0,—,70,0,0.0%,44,0,0.0%,39,5,12.8%,15,3,20.0%,12,4,33.3%,9,3,33.3%,486,35,7.2%,73
昆明大昌行联亚,52413,0,0,—,0,0,—,0,0,—,0,0,—,7,0,0.0%,126,0,0.0%,2,0,0.0%,6,0,0.0%,1,0,0.0%,4,0,0.0%,1,0,0.0%,12,0,0.0%,1,0,0.0%,8,2,25.0%,14,0,0.0%,1,0,0.0%,183,2,1.1%,49
杭州康桥,31025,19,11,57.9%,14,9,64.3%,16,11,68.8%,19,6,31.6%,14,6,42.9%,24,11,45.8%,23,12,52.2%,22,5,22.7%,24,6,25.0%,69,5,7.2%,27,5,18.5%,15,7,46.7%,37,13,35.1%,23,8,34.8%,13,3,23.1%,8,5,62.5%,367,123,33.5%,206
桐乡常隆,31043,9,5,55.6%,5,1,20.0%,24,13,54.2%,13,13,100.0%,13,4,30.8%,21,13,61.9%,10,5,50.0%,16,2,12.5%,17,10,58.8%,12,9,75.0%,11,9,81.8%,9,8,88.9%,14,11,78.6%,21,16,76.2%,12,11,91.7%,10,5,50.0%,217,135,62.2%,278
榆林高新,62631,54,19,35.2%,6,0,0.0%,36,10,27.8%,31,5,16.1%,36,3,8.3%,29,10,34.5%,30,9,30.0%,39,4,10.3%,5,1,20.0%,33,2,6.1%,27,1,3.7%,26,2,7.7%,11,9,81.8%,0,0,—,13,0,0.0%,16,4,25.0%,392,79,20.2%,351
武汉中南,41613,49,0,0.0%,5,0,0.0%,29,0,0.0%,120,0,0.0%,63,0,0.0%,42,0,0.0%,46,0,0.0%,31,0,0.0%,26,0,0.0%,5,0,0.0%,58,0,0.0%,82,0,0.0%,41,0,0.0%,34,0,0.0%,21,0,0.0%,41,0,0.0%,693,0,0.0%,4
江门永佳,41843,22,0,0.0%,23,0,0.0%,37,0,0.0%,4,0,0.0%,23,0,0.0%,24,0,0.0%,0,0,—,37,0,0.0%,31,0,0.0%,18,0,0.0%,8,0,0.0%,8,0,0.0%,7,1,14.3%,0,0,—,54,0,0.0%,3,0,0.0%,299,1,0.3%,8
沈阳于洪,20512,28,0,0.0%,20,0,0.0%,21,2,9.5%,23,3,13.0%,17,1,5.9%,34,1,2.9%,33,0,0.0%,11,0,0.0%,20,2,10.0%,13,0,0.0%,16,0,0.0%,19,0,0.0%,39,0,0.0%,21,1,4.8%,19,0,0.0%,24,3,12.5%,358,13,3.6%,23
沈阳铁西华通,20514,42,0,0.0%,36,0,0.0%,44,0,0.0%,38,0,0.0%,40,0,0.0%,67,5,7.5%,60,17,28.3%,24,15,62.5%,41,23,56.1%,44,22,50.0%,33,22,66.7%,37,15,40.5%,52,20,38.5%,46,22,47.8%,35,10,28.6%,37,15,40.5%,676,186,27.5%,254
海宁佳禾,310H1,8,1,12.5%,28,4,14.3%,17,3,17.6%,18,0,0.0%,12,2,16.7%,23,0,0.0%,25,0,0.0%,17,1,5.9%,9,0,0.0%,6,0,0.0%,7,0,0.0%,32,0,0.0%,6,1,16.7%,37,2,5.4%,36,0,0.0%,1,0,0.0%,282,14,5.0%,46
漳州盛兴,31252,31,3,9.7%,15,0,0.0%,12,0,0.0%,12,0,0.0%,33,0,0.0%,37,0,0.0%,12,1,8.3%,15,1,6.7%,19,2,10.5%,23,1,4.3%,16,1,6.2%,16,0,0.0%,28,2,7.1%,25,0,0.0%,28,0,0.0%,9,0,0.0%,331,11,3.3%,24
烟台东联,31441,19,4,21.1%,3,1,33.3%,32,5,15.6%,22,7,31.8%,31,3,9.7%,20,4,20.0%,19,4,21.1%,19,3,15.8%,27,2,7.4%,31,2,6.5%,23,2,8.7%,2,0,0.0%,38,7,18.4%,33,4,12.1%,22,2,9.1%,9,2,22.2%,350,52,14.9%,131
苏州中园,30965,38,0,0.0%,17,0,0.0%,23,0,0.0%,21,4,19.0%,30,0,0.0%,51,0,0.0%,47,0,0.0%,37,0,0.0%,25,0,0.0%,27,0,0.0%,31,0,0.0%,34,3,8.8%,37,13,35.1%,31,10,32.3%,32,12,37.5%,28,12,42.9%,509,54,10.6%,85
苏州由由,30963,42,10,23.8%,38,16,42.1%,45,21,46.7%,41,21,51.2%,41,8,19.5%,81,30,37.0%,70,17,24.3%,49,15,30.6%,47,11,23.4%,41,11,26.8%,48,10,20.8%,53,13,24.5%,64,25,39.1%,47,16,34.0%,56,12,21.4%,31,5,16.1%,794,241,30.4%,479
西安阳开龙腾,62612,63,0,0.0%,39,0,0.0%,24,0,0.0%,27,0,0.0%,41,0,0.0%,23,0,0.0%,67,0,0.0%,46,0,0.0%,7,0,0.0%,65,0,0.0%,22,1,4.5%,26,1,3.8%,17,7,41.2%,83,13,15.7%,21,1,4.8%,11,1,9.1%,582,24,4.1%,45
许昌豫中,41551,12,0,0.0%,16,0,0.0%,0,0,—,13,0,0.0%,5,0,0.0%,0,0,—,9,0,0.0%,21,0,0.0%,16,5,31.2%,24,6,25.0%,0,0,—,32,3,9.4%,23,7,30.4%,0,0,—,16,4,25.0%,19,2,10.5%,206,27,13.1%,70
邢台威龙,10371,23,0,0.0%,26,0,0.0%,37,0,0.0%,7,2,28.6%,20,3,15.0%,21,4,19.0%,26,7,26.9%,26,4,15.4%,28,4,14.3%,2,0,0.0%,10,0,0.0%,13,2,15.4%,16,5,31.2%,21,13,61.9%,29,5,17.2%,2,1,50.0%,307,50,16.3%,169
郑州世纪鸿图,41514,2,1,50.0%,20,4,20.0%,8,0,0.0%,22,3,13.6%,13,1,7.7%,28,2,7.1%,12,0,0.0%,23,4,17.4%,5,0,0.0%,14,0,0.0%,3,0,0.0%,16,0,0.0%,15,0,0.0%,7,0,0.0%,12,0,0.0%,8,0,0.0%,208,15,7.2%,141
重庆万家,52224,12,4,33.3%,18,5,27.8%,11,4,36.4%,0,0,—,9,0,0.0%,17,5,29.4%,21,17,81.0%,36,2,5.6%,32,4,12.5%,50,0,0.0%,4,0,0.0%,24,0,0.0%,116,18,15.5%,0,0,—,21,4,19.0%,6,4,66.7%,377,67,17.8%,184
重庆百事达礼嘉,5222D,12,1,8.3%,12,0,0.0%,14,4,28.6%,22,3,13.6%,9,3,33.3%,15,2,13.3%,36,24,66.7%,13,3,23.1%,27,4,14.8%,15,3,20.0%,28,6,21.4%,7,4,57.1%,16,11,68.8%,17,13,76.5%,17,8,47.1%,5,1,20.0%,265,90,34.0%,182
长春东环,20611,40,0,0.0%,37,5,13.5%,19,2,10.5%,40,0,0.0%,37,1,2.7%,39,0,0.0%,57,0,0.0%,28,0,0.0%,26,0,0.0%,40,0,0.0%,29,1,3.4%,36,0,0.0%,29,0,0.0%,38,0,0.0%,25,0,0.0%,30,0,0.0%,550,9,1.6%,34
长春华阳,20612,31,0,0.0%,26,2,7.7%,27,5,18.5%,29,0,0.0%,29,2,6.9%,29,6,20.7%,43,0,0.0%,23,0,0.0%,35,0,0.0%,20,0,0.0%,25,0,0.0%,22,0,0.0%,40,0,0.0%,42,0,0.0%,27,0,0.0%,27,2,7.4%,475,17,3.6%,101
韶关利泰,418F1,28,3,10.7%,30,4,13.3%,14,3,21.4%,21,4,19.0%,18,0,0.0%,11,3,27.3%,25,4,16.0%,14,0,0.0%,15,0,0.0%,20,0,0.0%,12,0,0.0%,11,0,0.0%,19,3,15.8%,24,3,12.5%,13,1,7.7%,10,0,0.0%,285,28,9.8%,87
